PERMNO,TICKER,Market Cap,Beta,PE Ratio,Forward Dividend 
88837,GRMN,19.411,0.99,20.81,2.44
88853,FLR,1.714,2.78,7.32,NA
88860,ALGN,23.961,1.98,14.17,NA
88873,GPN,51.197,1.12,122.73,0.78
89002,ADS,2.334,2.49,44.67,0.84
89003,FIS,88.634,0.69,2750.96,1.4
89006,MDLZ,78.844,0.63,23.66,1.26
89017,WLTW,25.256,0.81,25.03,2.72
89070,ZBH,28.616,1.35,776.46,0.96
89071,ACN,145.621,1.04,29.91,3.2
89179,ANTM,70.505,0.96,12.19,3.8
89195,PFG,12.676,1.61,10.16,2.24
89217,AAP,10.499,1.31,27.62,1
89258,PRU,27.942,1.69,7.28,4.4
89269,CNC,36.437,0.73,20,NA
89393,NFLX,205.923,0.94,78.85,NA
89508,KMX,16.958,1.71,27.47,NA
89509,XEC,2.907,2.23,13.19,0.88
89525,CMCSA,196.383,0.99,17.27,0.92
89533,WYNN,9.524,2.42,-7.13,NA
89617,EQIX,67.141,0.41,131.54,10.64
89626,CME,60.292,0.31,25.36,3.4
89641,STX,11.787,1,12.08,2.6
89866,LKQ,9.573,1.66,17.3,NA
90038,AIZ,7.454,0.55,19.79,2.52
90071,NRG,8.52,1.04,2.09,1.2
90199,CBRE,15.825,1.68,13.94,NA
90215,CRM,173.064,1.06,-704.13,NA
90272,WCG,17.611,0.93,22.82,NA
90305,EXR,13.293,0.22,31.07,3.6
90319,GOOGL,1007,1.04,32.55,NA
90373,DLR,40.788,0.26,55.75,4.48
90386,MOS,6.687,1.72,-4.26,0.2
90441,FOXA,14.986,1.38,15.22,0.46
90442,FOX,14.986,1.48,15.4,0.46
90520,CE,12.184,1.39,19.67,2.48
90601,NDAQ,21.431,0.77,27.3,1.96
90805,DISCA,10.898,1.49,13.12,NA
90808,EXPE,12.445,1.54,-7.26,NA
90829,CF,7.591,1.14,20.35,1.2
90880,AMP,19.55,1.82,8.45,4.16
90979,UAA,4.717,1.19,-6.45,NA
90993,ICE,53.546,0.55,25.5,1.2
91063,VIAB,9.77,1.37,5.78,NA
91068,CMG,32.083,1.21,127.12,NA
91103,UAL,10.717,1.41,-5.6,NA
91152,TDG,26.574,1.45,40.46,NA
91233,MA,328.888,1.06,45.47,1.6
91416,HBI,5.553,1.64,11.02,0.6
91461,WU,9.548,0.94,16.09,0.9
91556,ROST,33.314,0.8,35.85,NA
91668,IPGP,8.465,1.71,1.71,NA
91849,BR,16.317,0.88,40.03,2.3
91926,DAL,18.906,1.18,-4.79,NA
92121,DFS,17.086,1.84,17.23,1.76
92157,TEL,31.367,1.34,-263.06,1.92
92239,CXO,10.414,1.83,-1.04,0.8
92322,ULTA,12.174,1.4,28.54,NA
92402,MSCI,29.317,0.95,57.09,3.12
92602,PM,122.59,0.8,16.86,4.68
92611,V,434.192,0.88,0.88,1.2
92614,AWK,25.807,0.25,40.46,2.2
92655,UNH,299.879,0.71,17.74,5
92778,DISCK,10.898,1.49,12.1,NA
93002,AVGO,130.32,0.9,58.17,13
93089,VRSK,30.511,0.73,60.49,1.08
93096,DG,48.102,0.51,24.78,1.44
93132,FTNT,20.463,0.96,53.01,NA
93429,CBOE,9.67,0.46,19.52,1.44
